comment_id,post_id,offensiveness_score
e7vmzmu,9op9bu,-0.333
e7vnjjz,9op9bu,0.083
e7vnyhd,9op9bu,0.083
e7vo4dv,9op9bu,-0.021
e7voini,9op9bu,0.104
e7vprjt,9op9bu,0.298
e7vq4m0,9ody9p,-0.042
e7vqc1a,9op9bu,0.125
e7vqlle,9op9bu,-0.146
e7vrwd5,9op9bu,0.25
e7vu9dq,9op9bu,0.277
e7vuqiy,9op9bu,-0.333
e7vv4e0,9op9bu,-0.25
e7vvlcd,9op9bu,0.111
e7w0uno,9op9bu,-0.104
e7w1j6o,9op9bu,0.312
e7w5buy,9op9bu,-0.167
e7w8p58,9ody9p,0.085
e7wa5tp,9op9bu,-0.521
e7wlu24,9op9bu,-0.128
e7wlveo,9op9bu,-0.604
e7wlwkh,9op9bu,-0.681
e7wmx7f,9op9bu,-0.208
e7wn0k9,9op9bu,0.208
e7wnwjm,9op9bu,0.312
e7wo3qr,9op9bu,0.396
e7wo94x,9op9bu,-0.104
e7woga7,9op9bu,-0.438
e7wotb2,9op9bu,0.542
e7wp1an,9op9bu,-0.625
e7wpelo,9op9bu,0.042
e7wpovm,9op9bu,0.354
e7wpriq,9op9bu,-0.438
e7wqmur,9op9bu,0.064
e7wqua4,9op9bu,0
e7wr7eu,9op9bu,0.25
e7wrwmd,9op9bu,0.826
e7ws1rx,9op9bu,0.458
e7ws1vd,9op9bu,0.104
e7wsn0a,9op9bu,-0.625
e7wtum5,9op9bu,-0.062
e7wu7er,9op9bu,0.167
e7wudcv,9op9bu,0.13
e7wuhai,9op9bu,0.125
e7wumsc,9op9bu,-0.021
e7wuqtu,9op9bu,0.292
e7xomjc,9ody9p,0
e83ynwk,8lv1td,0.174
e863hv8,9ody9p,-0.167
e8jgqu9,9rt1pm,-0.229
e8jgypm,9rt1pm,-0.312
e8jhexs,9rt1pm,0
e8jhm8m,9rt1pm,-0.085
e8jiacq,9rt1pm,0.174
e8jim67,9rt1pm,-0.146
e8jjap7,9rt1pm,-0.125
e8jjnxj,9rt1pm,-0.128
e8jlbb3,9rt1pm,-0.458
e8jmkn9,9rt1pm,-0.283
e8jn4yt,9rt1pm,0.146
e8jotra,9rt1pm,-0.333
e8jp3i9,9rt1pm,0.167
e8jqbsk,9rt1pm,0.208
e8jqpd2,9rt1pm,0.304
e8jrko8,9rt1pm,-0.479
e8jsf6p,9rt1pm,-0.375
e8jw6r3,9rt1pm,-0.213
e8jw7cy,9rt1pm,-0.042
e8jy9y1,9rt1pm,-0.292
e8k6dyt,9rt1pm,0
e8k6re9,9rt1pm,-0.354
e8k6wsi,9rt1pm,-0.083
e8k7192,9rt1pm,-0.292
e8k7s8y,9rt1pm,0.083
e8k9n89,9rt1pm,0.062
e8k9vxm,9rt1pm,-0.021
e8kb6lr,9rt1pm,-0.167
e8kbl6v,9rt1pm,0.375
e8kbsz8,9rt1pm,-0.5
e8kd8c8,9rt1pm,-0.25
e8kdtm7,9rt1pm,-0.319
e8ked1s,9rt1pm,-0.362
e8kh0x0,9rt1pm,0.087
e8kioyg,9rt1pm,-0.167
e8kj5fb,9rt1pm,-0.083
e8kkrum,9rt1pm,-0.438
e8kl3xs,9rt1pm,-0.104
e8kmslj,9rt1pm,0.25
e8kq3ms,9rt1pm,0.128
e8kqbbi,9rt1pm,-0.125
e8kqspc,9rt1pm,-0.104
e8ks8j3,9rt1pm,-0.062
e8kueky,9rt1pm,-0.312
e8kuv4r,9rt1pm,0.562
e8kvnuk,9rt1pm,0.042
e8l1nx0,9rt1pm,-0.188
e9cvb50,9vk6p7,-0.271
e9cy8jo,9vk6p7,-0.438
e9cydtx,9vk6p7,-0.479
e9cygat,9vk6p7,-0.167
e9czanz,9vk6p7,-0.196
e9d1yo3,9vk6p7,-0.271
e9d3uqy,9vk6p7,-0.333
e9d5bod,9vk6p7,-0.438
e9d68kr,9vk6p7,-0.354
e9d7o3o,9vk6p7,-0.292
e9d9ssv,9vk6p7,-0.167
e9daxtc,9vk6p7,-0.292
e9de8ak,9vk6p7,-0.5
e9dgsjx,9vk6p7,-0.625
e9dhyn3,9vk6p7,-0.25
e9di8p3,9vk6p7,-0.083
e9dip86,9vk6p7,-0.447
e9dja2q,9vk6p7,-0.333
e9djunj,9vk6p7,0
e9dkymp,9vk6p7,0.146
e9dxnao,9vk6p7,-0.326
e9dz82k,9vk6p7,-0.298
e9e5qmk,9vk6p7,-0.208
e9e7mog,9vk6p7,-0.396
e9e83z7,9vk6p7,-0.562
e9e92l0,9vk6p7,-0.37
e9eaggr,9vk6p7,-0.146
e9eaych,9vk6p7,-0.5
e9ecgvp,9vk6p7,-0.625
e9ee41p,9vk6p7,-0.292
e9eg1pr,9vk6p7,-0.458
e9egljb,9vk6p7,-0.021
e9egusy,9vk6p7,-0.489
e9ehmbu,9vk6p7,-0.521
e9eikqi,9vk6p7,-0.375
e9eimbo,9vk6p7,-0.062
e9ej94n,9vk6p7,0.149
e9emggh,9vk6p7,-0.458
e9esb2k,9vk6p7,-0.37
e9etpb8,9vk6p7,-0.304
e9euxp9,9vk6p7,-0.5
e9evndq,9vk6p7,0.362
e9ewll3,9vk6p7,-0.146
e9ezm27,9vk6p7,-0.208
e9fytno,9vk6p7,-0.271
e9ojonp,9vk6p7,0.583
e9tbutg,9xm8ik,-0.109
e9tbyl7,9xm8ik,0.354
e9tc0ou,9xm8ik,-0.208
e9tch0q,9xm8ik,-0.021
e9tcskd,9xm8ik,0.042
e9td5gt,9xm8ik,-0.229
e9tdeab,9xm8ik,-0.104
e9tdhzo,9xm8ik,0
e9te6kw,9xm8ik,-0.333
e9te82j,9xm8ik,-0.042
e9tekqv,9xm8ik,-0.083
e9tepha,9xm8ik,0.146
e9tg2tf,9xm8ik,0
e9tglrr,9xm8ik,0.042
e9th86c,9xm8ik,-0.062
e9tj13y,9xm8ik,-0.146
e9tjgiz,9xm8ik,0.021
e9tkepb,9xm8ik,-0.25
e9tmksg,9xm8ik,-0.417
e9tmppo,9xm8ik,-0.042
e9tq35m,9xm8ik,-0.261
e9u4g10,9xm8ik,-0.292
e9u4l7n,9xm8ik,-0.292
e9u4qqz,9xm8ik,-0.149
e9u6hyy,9xm8ik,-0.062
e9u74bb,9xm8ik,-0.25
e9u7hbm,9xm8ik,-0.104
e9u8ez2,9xm8ik,-0.042
e9u8k79,9xm8ik,0.188
e9u8ojx,9xm8ik,0.062
e9uc0ph,9xm8ik,-0.125
e9ufqnq,9xm8ik,0.146
e9ulzvm,9xm8ik,-0.25
e9umcy6,9xm8ik,-0.17
e9umjlk,9xm8ik,0.062
e9unnsk,9xm8ik,-0.66
e9uq4q4,9xm8ik,-0.312
e9uqzed,9xm8ik,-0.083
e9uubgj,9xm8ik,0.146
e9uw4dd,9xm8ik,-0.292
e9uw604,9xm8ik,-0.089
e9uwb08,9xm8ik,-0.312
e9v48b7,9xm8ik,-0.125
e9vdlhu,9xm8ik,-0.333
e9vnrwo,9xm8ik,-0.128
e9vxmmb,9xm8ik,0.104
e9wc4ky,9xm8ik,-0.25
ea2278w,9xm8ik,-0.021
eb5y2qq,a3gdr8,-0.104
eb5y7ne,a3gdr8,0.042
eb5yb8p,a3gdr8,0.167
eb5ybgw,a3gdr8,0.065
eb5ymkh,a3gdr8,0.083
eb5yobh,a3gdr8,0.106
eb5z0aa,a3gdr8,-0.292
eb5zdll,a3gdr8,0.188
eb5zq13,a3gdr8,-0.042
eb60gv1,a3gdr8,0.104
eb60ku8,a3gdr8,-0.188
eb60lln,a3gdr8,0.229
eb60yrr,a3gdr8,-0.239
eb611lq,a3gdr8,-0.25
eb615rx,a3gdr8,-0.458
eb61ech,a3gdr8,-0.167
eb61haz,a3gdr8,-0.208
eb62005,a3gdr8,0.042
eb62a4e,a3gdr8,-0.087
eb62df9,a3gdr8,-0.125
eb62gl6,a3gdr8,-0.167
eb63f4p,a3gdr8,0.375
eb63g2u,a3gdr8,-0.167
eb63r9k,a3gdr8,-0.125
eb63sgs,a3gdr8,-0.229
eb63xnq,a3gdr8,0.261
eb6511t,a3gdr8,-0.354
eb65718,a3gdr8,-0.125
eb65v74,a3gdr8,0.125
eb65x7q,a3gdr8,0.021
eb664d3,a3gdr8,-0.255
eb66c6i,a3gdr8,0
eb6766j,a3gdr8,0.125
eb6atax,a3gdr8,-0.208
eb6bh8v,a3gdr8,0.042
eb6di1g,a3gdr8,-0.167
eb6os3t,a3gdr8,-0.417
eb6p0ok,a3gdr8,-0.042
eb6p49z,a3gdr8,-0.348
eb6p7v4,a3gdr8,0.229
eb6pxa9,a3gdr8,0.562
eb6qj8e,a3gdr8,0.75
eb6ro9f,a3gdr8,-0.146
eb6s07t,a3gdr8,0.17
eb750wf,a3gdr8,0.638
eb7520u,a3gdr8,0.229
eb7jio6,a3gdr8,0.543
ebis4tp,a4zyo8,-0.188
ebis57m,a4zyo8,-0.042
ebisez5,a4zyo8,-0.021
ebisg2l,a4zyo8,0.062
ebisjto,a4zyo8,-0.109
ebispvd,a4zyo8,0.021
ebisy6a,a4zyo8,-0.229
ebiuhep,a4zyo8,-0.25
ebiuotf,a4zyo8,-0.083
ebiuw0w,a4zyo8,-0.333
ebiv8wd,a4zyo8,-0.083
ebivevm,a4zyo8,-0.104
ebivhd1,a4zyo8,-0.354
ebivt8l,a4zyo8,0
ebiw268,a4zyo8,-0.229
ebiwdzw,a4zyo8,-0.319
ebiy6my,a4zyo8,-0.333
ebizwyo,a4zyo8,-0.083
ebjlwav,a4zyo8,-0.312
ebjrjgr,a4zyo8,-0.146
ebkhog9,a4zyo8,-0.062
ebkiw72,a4zyo8,-0.174
ebkix21,a4zyo8,-0.146
ebkjxm0,a4zyo8,-0.312
ebkn11x,a4zyo8,-0.25
ebkn8kx,a4zyo8,-0.333
ebkq7x3,a4zyo8,-0.167
ebkrxi6,a4zyo8,0.255
ebks343,a4zyo8,-0.229
ebks6ul,a4zyo8,-0.167
ebksskw,a4zyo8,-0.042
ebktcwu,a4zyo8,-0.083
ebkugfk,a4zyo8,-0.213
ebkuotd,a4zyo8,-0.271
ebkv4pg,a4zyo8,-0.239
ebkxnx2,a4zyo8,-0.208
ebkyxov,a4zyo8,-0.167
ebl0ekd,a4zyo8,-0.191
eblxx4g,a4zyo8,-0.229
ebmu3y7,a5ix3n,-0.042
ebmuf8p,a5ix3n,-0.022
ebmveab,a5ix3n,-0.208
ebmx5oc,a5ix3n,0.062
ebmxcbo,a5ix3n,0.087
ebmxi5f,a5ix3n,0.511
ebmxo02,a5ix3n,-0.125
ebmy27k,a5ix3n,-0.375
ebmy6wi,a5ix3n,-0.25
ebmy8pz,a5ix3n,-0.229
ebmyijf,a5ix3n,0.021
ebmyq98,a5ix3n,-0.085
ebmyybh,a5ix3n,0.292
ebmyz25,a5ix3n,0
ebmzg8m,a5ix3n,0.109
ebmzmhp,a5ix3n,0.277
ebn017g,a5ix3n,0
ebn04eh,a5ix3n,-0.043
ebn0fi6,a5ix3n,-0.083
ebn0u09,a5ix3n,0.417
ebn0z2b,a4zyo8,-0.354
ebn1yic,a5ix3n,0.021
ebn20ya,a5ix3n,0
ebn269q,a5ix3n,-0.128
ebn2l1z,a5ix3n,-0.319
ebn3suc,a5ix3n,-0.021
ebn427g,a5ix3n,0.083
ebn4iib,a5ix3n,-0.125
ebn4qe2,a5ix3n,-0.062
ebn5c7e,a5ix3n,0.375
ebn5tzf,a5ix3n,-0.5
ebn70c7,a5ix3n,0.447
ebn7bun,a5ix3n,-0.146
ebn8oqr,a5ix3n,-0.213
ebn9uaf,a5ix3n,0.043
ebnc22e,a5ix3n,-0.083
ebndew8,a5ix3n,-0.021
ebner8x,a5ix3n,-0.333
ebnfvd8,a5ix3n,-0.583
ebng6q4,a5ix3n,-0.261
ebnhysd,a5ix3n,-0.375
ebnmrxf,a5ix3n,-0.196
ebntje8,a5ix3n,-0.229
ebnvc3j,a5ix3n,0.188
ebo0sjf,a5ix3n,0.146
ebolcfj,a5ix3n,0.25
eboppmn,a5ix3n,-0.043
eboqqk7,a5ix3n,0.271
ebp1x5h,a5ix3n,-0.188
ebu4cdt,a6ei2k,-0.125
ebu4gpu,a6ei2k,-0.104
ebu4l94,a6ei2k,0.083
ebu5cm7,a6ei2k,-0.021
ebu5e1j,a6ei2k,-0.574
ebu5phm,a6ei2k,-0.021
ebu5pxc,a6ei2k,-0.146
ebu5q0p,a6ei2k,0.062
ebu604u,a6ei2k,-0.167
ebu7jy2,a6ei2k,-0.312
ebu7m8l,a6ei2k,0.083
ebu96b9,a6ei2k,-0.17
ebu9e23,a6ei2k,-0.104
ebucfi1,a6ei2k,-0.021
ebucg0d,a6ei2k,-0.021
ebuchix,a6ei2k,0.125
ebud0xe,a6ei2k,0.167
ebud9xw,a6ei2k,0.021
ebudms4,a6ei2k,-0.208
ebuepbn,a6ei2k,0.479
ebuf26v,a6ei2k,0.375
ebuf9re,a6ei2k,0.021
ebufqhr,a6ei2k,-0.229
ebufyvu,a6ei2k,-0.167
ebufz15,a6ei2k,0.083
ebugca1,a6ei2k,0.532
ebugn59,a6ei2k,-0.062
ebuh3j4,a6ei2k,-0.333
ebuhntj,a6ei2k,0.283
ebuhr07,a6ei2k,-0.229
ebui7sg,a6ei2k,-0.511
ebuih8u,a6ei2k,-0.167
ebuii0d,a6ei2k,-0.062
ebukur6,a6ei2k,-0.188
ebulo2o,a6ei2k,-0.458
ebum0kt,a6ei2k,0.292
ebum85k,a6ei2k,-0.37
ebumdx6,a6ei2k,0.128
ebumwh0,a6ei2k,-0.083
ebundsu,a6ei2k,-0.042
ebuqp4z,a6ei2k,-0.062
ebuucgb,a6ei2k,-0.188
ebuus2i,a6ei2k,-0.021
ebuwbrs,a6ei2k,-0.208
ebuwp6n,a6ei2k,-0.75
ed4yak6,a4zyo8,-0.188
edbbeh4,a4zyo8,0.217
edixdet,9ody9p,-0.271
eervgva,aj151b,-0.312
eervqsj,aj151b,-0.104
eerxipd,aj151b,0.146
eery11d,aj151b,-0.239
eerytho,aj151b,-0.396
eerzz96,aj151b,0.125
ees09jk,aj151b,0.583
ees0sp1,aj151b,0.146
ees38dg,aj151b,-0.062
ees3tb6,aj151b,0.104
ees6k3z,aj151b,-0.042
ees732l,aj151b,-0.646
ees7ln9,aj151b,-0.229
ees9zy4,aj151b,-0.146
eesal2c,aj151b,0.167
eesc024,aj151b,-0.13
eescck4,aj151b,0.083
eesclgt,aj151b,0.021
eescmpl,aj151b,-0.104
eesdgpx,aj151b,0
eesfgtt,aj151b,0.044
eesvuoc,aj151b,0.354
eetc73i,aj151b,0.167
eetzv8e,aj151b,-0.042
eeu0dr5,aj151b,0.319
eeu3f5p,aj151b,-0.188
eeu9gu2,aj151b,-0.146
eeu9ma0,aj151b,0.021
eeu9pz3,aj151b,0.167
eeuam3p,aj151b,-0.125
eeucsnd,aj151b,-0.562
eeudd1m,aj151b,0.208
eeuegei,aj151b,-0.542
eeuer43,aj151b,0.583
eeues5x,aj151b,-0.021
eeug0an,aj151b,-0.208
eeuimz7,aj151b,0.208
eeunroq,aj151b,0.062
eeusg0j,aj151b,0.312
eev0rw7,aj151b,-0.152
eew4jcc,aj151b,-0.083
eexfsi2,aj151b,-0.167
efh41vg,aj151b,-0.104
efo4e70,amrwus,-0.104
efo4h2v,amrwus,0.146
efo5udu,amrwus,-0.022
efo5xul,amrwus,-0.354
efo662s,amrwus,0
efo6e0p,amrwus,-0.104
efo6gqs,amrwus,-0.25
efo78hd,amrwus,-0.333
efo7c67,amrwus,-0.583
efo8vqu,amrwus,0.083
efoarg2,amrwus,-0.292
efob0ra,amrwus,-0.688
efobbb2,amrwus,-0.042
efobqbp,amrwus,-0.234
efoc7x4,amrwus,0.085
efod86l,amrwus,-0.304
efodj08,amrwus,0.042
efoe1ew,amrwus,0.083
efoicfr,amrwus,0.271
efoudpx,amrwus,0
efov8oi,amrwus,-0.208
efq49le,amrwus,-0.125
efq4aex,amrwus,0
efq4ycd,amrwus,-0.104
efq6azl,amrwus,-0.125
efq6v9c,amrwus,-0.062
efq7swg,amrwus,-0.229
efqeec1,amrwus,-0.354
efqfale,amrwus,0.062
efqgwt3,amrwus,0.244
efqkfnp,amrwus,0.109
efqnj22,amrwus,0.065
efqvh2d,amrwus,-0.208
efs1vj0,amrwus,-0.167
efs6yux,amrwus,0.021
efsj64k,amrwus,-0.125
efsv6eq,amrwus,0
efu9r87,amrwus,-0.065
efugnge,amrwus,-0.25
efuoucl,aj151b,-0.188
efw006c,amrwus,-0.021
efz8a85,ao9jm1,-0.167
efz8nmh,ao9jm1,-0.106
efz8s6q,ao9jm1,-0.022
efz9qpp,ao9jm1,-0.042
efz9r5b,ao9jm1,0.104
efza83f,ao9jm1,-0.604
efzaem3,ao9jm1,-0.229
efzagc9,ao9jm1,0.255
efzam75,ao9jm1,-0.14
efzan8z,ao9jm1,-0.34
efzao3o,ao9jm1,-0.333
efzb3vq,ao9jm1,-0.229
efzbbzl,ao9jm1,-0.128
efzbq28,ao9jm1,-0.104
efzbut8,ao9jm1,-0.125
efzbzeg,ao9jm1,-0.064
efzdmtz,ao9jm1,-0.125
efzdmun,ao9jm1,-0.128
efzdq4q,ao9jm1,-0.312
efzdve2,ao9jm1,0.25
efze29a,ao9jm1,0.333
efze5k6,ao9jm1,-0.312
efzehri,ao9jm1,-0.37
efzej0i,ao9jm1,-0.188
efzenim,ao9jm1,-0.083
efzeuco,ao9jm1,-0.021
efzfeud,ao9jm1,-0.25
efzfgbk,ao9jm1,-0.146
efzgie5,ao9jm1,-0.021
efzha3d,ao9jm1,-0.283
efzhdsu,ao9jm1,0.104
efzhfvx,ao9jm1,-0.089
efziuia,ao9jm1,-0.125
efzjflw,ao9jm1,-0.146
efzkdm2,ao9jm1,0.146
efzla44,ao9jm1,-0.085
efzlji7,ao9jm1,0.022
efzlu1i,ao9jm1,-0.125
efzmejz,ao9jm1,-0.167
efzmfev,ao9jm1,0.25
efzmfot,ao9jm1,-0.298
efzmpr0,ao9jm1,-0.167
efznf9x,ao9jm1,-0.042
efzo5oa,ao9jm1,-0.021
eg02za7,ao9jm1,0.021
eg033tl,ao9jm1,-0.208
eg0cuw7,ao9jm1,-0.417
eg1gx6e,amrwus,-0.104
eg1lari,amrwus,-0.333
eg6rkas,amrwus,-0.083
ego1irj,a4zyo8,-0.304
ejffzkk,b5ryo6,0.065
ejfg7am,b5ryo6,-0.085
ejfg7ig,b5ryo6,-0.149
ejfgib4,b5ryo6,-0.125
ejfgqne,b5ryo6,-0.312
ejfgvbk,b5ryo6,0.104
ejfgzot,b5ryo6,-0.438
ejfh5yg,b5ryo6,0.021
ejfh6so,b5ryo6,0.104
ejfhru1,b5ryo6,0
ejfhs2x,b5ryo6,0.085
ejfi04z,b5ryo6,-0.292
ejfi0q6,b5ryo6,0.213
ejfi9g0,b5ryo6,0.149
ejfilg3,b5ryo6,0.833
ejfjdv0,b5ryo6,0.104
ejflhea,b5ryo6,-0.062
ejflok9,b5ryo6,0.083
ejfm86j,b5ryo6,0.271
ejfn8v5,b5ryo6,0.511
ejfnf1q,b5ryo6,0.043
ejfnrng,b5ryo6,0.021
ejfotld,b5ryo6,-0.396
ejfprob,b5ryo6,0.562
ejfqesh,b5ryo6,-0.064
ejfqh60,b5ryo6,0.292
ejfqj4f,b5ryo6,0.042
ejfqur4,b5ryo6,0.17
ejfr0or,b5ryo6,0.062
ejfrbq1,b5ryo6,0.25
ejfrcdd,b5ryo6,-0.042
ejft0me,b5ryo6,0
ejftbev,b5ryo6,0.812
ejfth7t,b5ryo6,0.085
ejftvz0,b5ryo6,0.354
ejfw64r,b5ryo6,0.104
ejfxb01,b5ryo6,0.292
ejfxw76,b5ryo6,0.596
ejfyhmy,b5ryo6,0.312
ejfyqjv,b5ryo6,0.042
ejfzmsf,b5ryo6,0.396
ejfzwom,b5ryo6,0.152
ejg1u7u,b5ryo6,0.125
ejg2j7b,b5ryo6,-0.25
ejgg6nx,b5ryo6,-0.021
ejsyof9,b7o24j,0.125
ejsyvmh,b7o24j,-0.087
ejsz03b,b7o24j,-0.292
ejsz31d,b7o24j,-0.021
ejszfiu,b7o24j,-0.104
ejszofa,b7o24j,-0.13
ejszwc7,b7o24j,0.17
ejt03iv,b7o24j,0
ejt0a4h,b7o24j,0
ejt0gyf,b7o24j,0.167
ejt0ujd,b7o24j,-0.104
ejt0ybg,b7o24j,0.25
ejt104r,b7o24j,0.208
ejt13ay,b7o24j,-0.042
ejt164b,b7o24j,0.042
ejt18t0,b7o24j,-0.021
ejt1qna,b7o24j,0.191
ejt20mg,b7o24j,-0.083
ejt22km,b7o24j,-0.083
ejt2an7,b7o24j,-0.188
ejt2u8i,b7o24j,0.021
ejt31bt,b7o24j,-0.083
ejt31eg,b7o24j,0.208
ejt366t,b7o24j,-0.042
ejt39iu,b7o24j,-0.062
ejt3g2w,b7o24j,-0.188
ejt3gaa,b7o24j,0.104
ejt3lg5,b7o24j,-0.417
ejt3lqs,b7o24j,-0.447
ejt3vw4,b7o24j,-0.167
ejt47ii,b7o24j,0.146
ejt48v2,b7o24j,0.021
ejt4a1u,b7o24j,0.188
ejt4gdb,b7o24j,-0.354
ejt4hqq,b7o24j,-0.042
ejt4kfy,b7o24j,-0.532
ejt4x29,b7o24j,-0.468
ejt54lm,b7o24j,0.149
ejt5j1b,b7o24j,-0.042
ejt6957,b7o24j,0.277
ejt9crq,b7o24j,0.128
ejtc1nv,b7o24j,-0.021
ejtf2q2,b7o24j,0.188
ejtf6w8,b7o24j,0.167
ejtimr3,b7o24j,0
ejtis38,b7o24j,-0.062
ejtiudr,b7o24j,-0.213
ejtp6kk,b7o24j,0.085
ejtxei7,b7o24j,-0.213
eju16gc,b7o24j,-0.125
ekfj1cc,aj151b,0.149
elrx6gk,aj151b,-0.438
em4u3l2,bj2t51,-0.271
em4x6et,bj2t51,-0.229
em4xkuf,bj2t51,-0.457
em4xldd,bj2t51,-0.208
em4y212,bj2t51,-0.396
em4yy57,bj2t51,-0.042
em50xy8,bj2t51,-0.292
em51pzl,bj2t51,-0.062
em54q90,bj2t51,0.104
em55kzd,bj2t51,-0.234
em55n0f,bj2t51,0.128
em55z6r,bj2t51,-0.229
em56omf,bj2t51,-0.417
em58yjm,bj2t51,0.083
em597vt,bj2t51,-0.292
em5998o,bj2t51,-0.271
em5dt4a,bj2t51,0.146
em5pooj,bj2t51,0.167
em6bi8s,bj2t51,0.717
em6cjou,bj2t51,-0.766
em6dljw,bj2t51,0.149
em6eyiz,bj2t51,0.125
em6fv5t,bj2t51,0.042
em6kqff,bj2t51,0.104
em6mqu9,bj2t51,0.312
em6qmol,bj2t51,0.667
em6sdhy,bj2t51,-0.413
em6yiri,bj2t51,0.479
em71tsj,bj2t51,0
em74rkd,bj2t51,0.312
em78wyj,bj2t51,-0.396
em7ap3c,bj2t51,0.062
em7i3vc,bj2t51,-0.167
em7im49,bj2t51,0.021
em7kd83,bj2t51,0
em7ks9c,bj2t51,0.25
em7p3gi,bj2t51,-0.292
em7qg23,bj2t51,-0.042
em7ucw0,bj2t51,0
em7y7a4,bj2t51,-0.396
emntf69,bj2t51,0.521
emord08,bj2t51,-0.125
emotax4,bj2t51,-0.354
evk7ide,ck7weu,-0.042
evk7spq,ck7weu,-0.083
evk80vk,ck7weu,-0.087
evk8cfb,ck7weu,-0.17
evk8zhb,ck7weu,-0.17
evk9bmb,ck7weu,-0.021
evka1uw,ck7weu,-0.208
evkadm6,ck7weu,-0.021
evkaepy,ck7weu,-0.208
evkb6wp,ck7weu,-0.271
evkb91w,ck7weu,-0.125
evkbu6g,ck7weu,-0.447
evkc0n2,ck7weu,-0.542
evkc7vd,ck7weu,-0.064
evkc9xt,ck7weu,-0.085
evkckqd,ck7weu,0.085
evkcqx3,ck7weu,-0.146
evkcvb0,ck7weu,0
evkd8wk,ck7weu,0.109
evkdkaz,ck7weu,-0.062
evkdznp,ck7weu,0.106
evkgitq,ck7weu,-0.208
evkhkrm,ck7weu,0.125
evkkzlq,ck7weu,0.062
evkler0,ck7weu,-0.128
evklzuu,ck7weu,0.042
evkmw7s,ck7weu,0.043
evkngye,ck7weu,-0.104
evkp19g,ck7weu,-0.167
evkp5lu,ck7weu,-0.021
evkr48r,ck7weu,-0.312
evktjaf,ck7weu,-0.375
evkuc4n,ck7weu,0
evkujul,ck7weu,-0.333
evl6c43,ck7weu,-0.354
evld10o,ck7weu,0.167
evm2h1o,ck7weu,0.021
evmb9z9,ck7weu,0.396
evmwl35,ck7weu,0.064
evo5su5,ck7weu,0.188
evooznv,ck7weu,-0.083
evopqax,ck7weu,-0.396
evopuvb,ck7weu,-0.188
evp4r43,ck7weu,0
evpaylj,ck7weu,0.021
evpb2pj,ck7weu,-0.271
evpboar,ck7weu,0.271
evpdazp,ck7weu,-0.292
evq99fs,ck7weu,0
cy6sn5u,3xpv15,-0.188
cy6x509,3xpv15,0.125
cy767m3,3xpv15,0.867
cy787f5,3xpv15,-0.25
cy7iue6,3xpv15,0.191
cy7m70e,3xpv15,0.292
cy7nwph,3xpv15,0.458
cy7pra1,3xpv15,-0.083
cy7q1iy,3xpv15,-0.354
cy8vexd,3xpv15,-0.167
cz1sqxx,41ez1l,0.042
cz1sx7r,41ez1l,0.521
cz1sxng,41ez1l,0.17
cz1t26k,41ez1l,-0.354
cz22z0c,41ez1l,-0.271
cz2ic1f,41ez1l,0.396
cz2ohm8,41ez1l,-0.125
cz2puf3,41ez1l,-0.104
cz2qt3v,41ez1l,-0.521
cz5341e,41twkg,-0.312
cz535zt,41twkg,-0.354
cz53atr,41twkg,0.375
cz55669,41twkg,-0.489
cz55i4o,41twkg,-0.375
cz567tm,41twkg,0.167
cz59l4q,41twkg,0.229
cz5eiyh,41twkg,0.688
cz5f9od,41twkg,-0.062
cz5wjwc,41twkg,-0.562
cz5z7ed,41twkg,-0.417
cz6deld,41twkg,0.812
cz8cid1,4283f1,0
cz8msxj,4283f1,0.646
cz8vjqy,4283f1,0.255
cz8wj4i,4283f1,-0.067
cz9n1yg,4283f1,-0.188
czgbt58,438gfu,0.521
czgc1es,438gfu,0.146
czgc8nt,438gfu,-0.021
czgp5e2,438gfu,0.75
czgpkif,438gfu,0.542
czgqbn8,438gfu,0.062
czgqby1,438gfu,0.638
czgsz1j,438gfu,0.062
czgu4le,438gfu,0.604
czgyczx,438gfu,0.792
czgzpms,438gfu,0.688
czh1mkf,438gfu,0.333
czh82ne,438gfu,0.25
czhsikj,438gfu,-0.312
d0ly13k,48rqdr,-0.085
d0lyg6z,48rqdr,0.5
d0lyvcj,48rqdr,-0.152
d0lz3qm,48rqdr,-0.333
d0m4xcp,48rqdr,-0.553
d0mknq3,48rqdr,0.396
d0mmpos,48rqdr,0.604
d0mph9m,48rqdr,0.125
d0mqwh6,48rqdr,-0.083
d0msq76,48rqdr,0.208
d0mxkdr,48rqdr,0
d0n8w7m,48rqdr,0.729
d0nd58v,48rqdr,0.042
d3u7046,4mbp7r,-0.188
d3ub1m5,4mbp7r,-0.319
d3uf0xz,4mbp7r,-0.438
d3ukfha,4mbp7r,-0.489
d3umaqb,4mbp7r,-0.729
d3umi4z,4mbp7r,-0.289
d3uptui,4mbp7r,-0.604
d3utxp4,4mbp7r,-0.604
d4oo4kh,4pxpjl,0.479
d4osy9p,4pxpjl,-0.333
d4ozmem,4pxpjl,-0.271
d4p38t4,4pxpjl,0.583
d4pakco,4pxpjl,-0.188
d4peaxu,4pxpjl,0.542
d4pih0r,4pxpjl,0
d4pkb4e,4pxpjl,-0.229
d4pnk8j,4pxpjl,-0.468
d4pqf63,4pxpjl,0.149
d4pshl4,4pxpjl,-0.062
d4q4e22,4pxpjl,0.146
d5psabq,4uha88,0.083
d5q41kk,4uha88,0.489
d5q7g40,4uha88,-0.167
